Id,type,duration,MatchedTeller
1032874543,1,20,9001238456
1032874544,1,20,9001238484
1032874546,1,20,9001238457
1032874550,1,20,9001238459
1032874558,1,20,9001238463
1032874574,1,20,9001238471
1032874606,1,20,9001238472
1032874670,1,20,9001238464
1032874798,1,20,9001238473
1032875054,1,20,9001238474
1032875055,1,20,9001238460
1032874799,1,20,9001238465
1032875056,1,20,9001238475
1032875057,1,20,9001238476
1032874671,1,20,9001238466
1032874800,1,20,9001238477
1032875058,1,20,9001238478
1032875059,1,20,9001238458
1032874801,1,20,9001238461
1032875060,1,20,9001238467
1032875061,1,20,9001238479
1032874607,1,20,9001238480
1032874672,1,20,9001238468
1032874802,1,20,9001238481
1032875062,1,20,9001238482
1032875063,1,20,9001238462
1032874803,1,20,9001238469
1032875064,1,20,9001238483
1032875065,1,20,9001238470
1032874673,1,20,9001238484
1032874804,1,20,9001238476
1032875066,1,20,9001238475
1032875067,1,20,9001238480
1032874805,1,20,9001238477
1032875068,1,20,9001238478
1032875069,1,20,9001238479
1032874575,1,20,9001238481
1032874608,1,20,9001238483
1032874674,1,20,9001238482
1032874806,1,20,9001238466
1032875070,1,20,9001238472
1032875071,1,20,9001238456
1032874807,1,20,9001238457
1032875072,1,20,9001238471
1032875073,1,20,9001238459
1032874675,1,20,9001238463
1032874808,1,20,9001238470
1032875074,1,20,9001238474
1032875075,1,20,9001238464
1032874809,1,20,9001238473
1032875076,1,20,9001238462
1032875077,1,20,9001238460
1032874609,1,20,9001238465
1032874676,1,20,9001238458
1032874810,1,20,9001238469
1032875078,1,20,9001238461
1032875079,1,20,9001238467
1032874811,1,20,9001238468
1032875080,1,20,9001238482
1032875081,1,20,9001238484
1032874677,1,20,9001238483
1032874812,1,20,9001238481
1032875082,1,20,9001238476
1032875083,1,20,9001238480
1032874813,1,20,9001238475
1032875084,1,20,9001238479
1032875085,1,20,9001238477
1032874559,1,20,9001238478
1032874576,1,20,9001238477
1032874610,1,20,9001238478
1032874678,1,20,9001238482
1032874814,1,20,9001238468
1032875086,1,20,9001238467
1032875087,1,20,9001238457
1032874815,1,20,9001238462
1032875088,1,20,9001238456
1032875089,1,20,9001238466
1032874679,1,20,9001238472
1032874816,1,20,9001238473
1032875090,1,20,9001238463
1032875091,1,20,9001238471
1032874817,1,20,9001238459
1032875092,1,20,9001238464
1032875093,1,20,9001238470
1032874611,1,20,9001238474
1032874680,1,20,9001238479
1032874818,1,20,9001238481
1032875094,1,20,9001238484
1032875095,1,20,9001238458
1032874819,1,20,9001238461
1032875096,1,20,9001238483
1032875097,1,20,9001238465
1032874681,1,20,9001238460
1032874820,1,20,9001238475
1032875098,1,20,9001238476
1032875099,1,20,9001238469
1032874821,1,20,9001238480
1032875100,1,20,9001238482
1032875101,1,20,9001238480
1032874577,1,20,9001238477
1032874612,1,20,9001238478
1032874682,1,20,9001238476
1032874822,1,20,9001238479
1032875102,1,20,9001238481
1032875103,1,20,9001238484
1032874823,1,20,9001238475
1032875104,1,20,9001238483
1032875105,1,20,9001238469
1032874683,1,20,9001238462
1032874824,1,20,9001238464
1032875106,1,20,9001238457
1032875107,1,20,9001238468
1032874825,1,20,9001238467
1032875108,1,20,9001238459
1032875109,1,20,9001238472
1032874613,1,20,9001238456
1032874684,1,20,9001238466
1032874826,1,20,9001238471
1032875110,1,20,9001238473
1032875111,1,20,9001238463
1032874827,1,20,9001238461
1032875112,1,20,9001238470
1032875113,1,20,9001238474
1032874685,1,20,9001238458
1032874828,1,20,9001238465
1032875114,1,20,9001238460
1032875115,1,20,9001238475
1032874829,1,20,9001238482
1032875116,1,20,9001238480
1032875117,1,20,9001238483
1032874551,1,20,9001238476
1032874560,1,20,9001238484
1032874578,1,20,9001238478
1032874614,1,20,9001238477
1032874686,1,20,9001238481
1032874830,1,20,9001238479
1032875118,1,20,9001238481
1032875119,1,20,9001238479
1032874831,1,20,9001238482
1032875120,1,20,9001238475
